_id,headline,pub_date
nyt://article/6c5e2d79-2725-57ae-b440-b93ffdedc3ec,"Beyoncé’s ‘Renaissance’ Movie Bonus, and 9 More New Songs",2023-12-01 17:55:08
nyt://article/2eb4a963-cdfd-5328-b669-416ee3b3a8ac,Trump Lawyer Tells Judge a Georgia Trial Would Be ‘Election Interference’,2023-12-01 18:20:19
nyt://article/4f6b4d77-aee3-5f06-900f-f1e906714154,A Shot at Building a Stand-Up Career in 15 Minutes or Less,2023-12-01 18:22:57
nyt://article/16dd302b-5bbe-5996-b673-ba586ece78cc,U.S. Navy Works to Salvage Plane From Fragile Hawaiian Bay,2023-12-01 18:25:19
nyt://article/dbb1db9e-f44b-52b4-8e6b-f2c9800099f6,Justice O’Connor’s Judicial Legacy Was Undermined by Court’s Rightward Shift,2023-12-01 18:29:25
nyt://article/dc7f2675-8dcb-5ac3-aa4b-f2855dd36547,"Listen: Elon Musk, Beyoncé, Best Books of Year",2023-12-01 18:42:14
nyt://article/9339fb5c-7707-5376-ac69-66bb489a4264,Transcript: Ezra Klein Interviews Casey Newton and Kevin Roose,2023-12-01 18:50:20
nyt://article/aa8a76d8-79c7-5944-a2b7-565ffa27773a,How Republicans Split Over Whether to Expel George Santos,2023-12-01 18:58:49
nyt://article/fba186d0-0611-5945-be7e-7b5e249cf2bb,The Only Doughnut Recipes You’ll Ever Need,2023-12-01 18:58:54
nyt://article/31d563f9-751a-5860-b66d-b493d8048e88,The Ultimate Brenda Lee Primer,2023-12-01 19:00:02
nyt://article/32ad0795-4a2b-5311-b1b4-7af1f73f4bbb,Court Rejects Jussie Smollett’s Appeal of Hoax Case Conviction,2023-12-01 19:06:26
nyt://article/dbaa6cf3-1cc5-55e5-bc6a-63c3b9447c21,"The House Does ‘the Right Thing,’ and George Santos Is Out",2023-12-01 19:29:11
nyt://article/1ef84dae-a50e-58c3-ab66-faf9e43bdb5b,Elon Musk Is Making a Giant Mistake … Unless?,2023-12-01 20:00:02
nyt://article/c61e66e4-32c5-5c04-9ccb-f076910b011d,Some Freed Hostages Are Only Now Learning of Loved Ones’ Deaths,2023-12-01 20:00:41
nyt://article/85c6b30b-b58d-51a0-ad69-1613294b6a32,"Ronald Fischetti, 87, Virtuoso Criminal Defense Lawyer, Dies",2023-12-01 20:01:37
nyt://article/2a55f323-45c7-550e-9e36-c48c34e1d53b,Review: A New York Philharmonic Staple Outshines a Flashy Premiere,2023-12-01 20:09:27
nyt://article/27994080-59d9-51f4-ade7-1540c34148c4,I’m White. Should I Repatriate My African Art?,2023-12-01 20:10:58
nyt://article/77d1405c-9ae9-5785-a56a-7d7a7ad76643,No Snoozing Here: This ‘Sleeping Beauty’ Is Gearing Up for a Wild Ride,2023-12-01 20:34:52
nyt://article/4e6021fe-55f7-5936-bc60-ea649ddaf266,"Review: At ‘Dancing With Glass,’ the Spotlight Rests on the Composer",2023-12-01 20:37:31
nyt://article/7001f541-1480-5647-a69d-bc33fce0246a,5 Books to Read About Sandra Day O’Connor,2023-12-01 20:43:44
nyt://article/cfd4eaf8-f2a1-55ea-8e8b-bfb8ef7c7b6a,"At P.S.G., a Coach’s Vision Collides With a Star’s Power",2023-12-01 20:55:37
nyt://article/548b3ce2-fea0-5e4b-b2cb-a2a520105c1e,Ask Brutalized Cambodians What They Think of Kissinger,2023-12-01 20:57:25
nyt://article/7691a547-9d9e-5851-b1de-f6c7f7d9c097,"Houston Fans Flock to See Beyoncé, on the Big Screen This Time",2023-12-01 21:00:21
nyt://article/d3bc6844-30b8-57af-998e-13c0b1384f5c,"Stocks Hit New High for the Year, Reversing the Summer’s Swoon",2023-12-01 21:06:54
nyt://article/bff72a63-ae8a-5eb2-adae-5a6d29c31925,Love Letter: The Weight of Shame,2023-12-01 21:11:07
nyt://article/c69f3565-532b-55d5-a2bd-9777f1663c74,Hamas and the Memory of the Holocaust,2023-12-01 21:20:10
nyt://article/2492c244-defc-5245-9688-d76da1ffaecb,"Mother With ‘Doomsday’ Beliefs, Lori Vallow Daybell, Is Extradited to Arizona",2023-12-01 21:35:11
nyt://article/458ba7f7-afb4-5b04-bc03-e06f0a14af51,"With Santos Ouster, a Chaotic Congress Makes History Again",2023-12-01 21:39:53
nyt://article/ecab6f56-1e10-50a6-8112-bff7c7ba47b0,U.S. Health Officials Push Back on Idea of New Virus in China,2023-12-01 21:54:02
nyt://article/e0155d24-32ca-583d-8927-3c5cf4c17aeb,Israel Resumes Offensive in Gaza Strip After Truce With Hamas Ends,2023-12-01 22:00:16
nyt://article/a2efeaa7-98b7-5809-8f43-259a001feaf0,How Shane MacGowan Made a Holiday Favorite: ‘Fairytale of New York’,2023-12-01 22:02:38
nyt://article/39a6fda1-2291-53a9-9f31-50c103d20005,"A Designer Inspired by Black Elegance, Soca Music and Blue Devils",2023-12-01 22:04:58
nyt://article/940749ba-1947-5342-b51f-0769012bcd92,"In Paris, a Fashion Store That Moonlights as a Small Hotel",2023-12-01 22:05:28
nyt://interactive/bbd54213-7eda-51bf-afed-759b6ea9af02,How Oysters Will Save New York,2023-12-01 22:14:56
nyt://article/e7e5acba-85e8-53df-9d2e-32ac7bc3634e,What It Takes to Transform the White House for the Holidays,2023-12-01 22:18:28
nyt://article/3e650d60-cf46-5f5f-bde1-e28e8009eef6,U.S. Appeals Court Orders Texas to Remove Buoy Barrier in Rio Grande,2023-12-01 22:22:13
nyt://article/45ac4d50-79c0-575c-94c5-d42680bdac11,Scientists in Discredited Alcohol Study Will Not Advise U.S. on Drinking Guidelines,2023-12-01 22:22:25
nyt://article/4695975c-cfc0-57c4-b61c-01ce692a10a3,The Weekender,2023-12-01 22:32:14
